interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
CCNB1	RB1	P14635	P06400
CCNC	RB1	P24863	P06400
CCND2	RB1	P30279	P06400
CCND3	FAS	P30281	P25445
CCNE1	FOXM1	P24864	Q08050
CCNE1	RB1	P24864	P06400
CCNG1	TP53	P51959	P04637
CCNT2	RB1	O60583	P06400
CD27	HRAS	P26842	P01112
TNFSF8	CXCL9	P32971	Q07325
CD33	CXCL9	P20138	Q07325
SCARB2	GSTP1	Q14108	P09211
CD37	GJB1	P11049	P08034
CD44	STAT3	P16070	P40763
CD63	CD9	P08962	P21926
CD63	CD81	P08962	P60033
CD63	HLA-DMB	P08962	P28068
CD63	HLA-DOB	P08962	P13765
CD63	HLA-DRA	P08962	P01903
CD63	ITGB1	P08962	P05556
CD63	PTGFRN	P08962	Q9P2B2
CD63	SDC1	P08962	P18827
CD63	SDCBP	P08962	O00560
CD63	TMEM80	P08962	Q96HE8
CD70	SLC31A1	P32970	O15431
CD79A	GJB1	P11912	P08034
CDK1	BCL2L1	P06493	Q07817
CDK1	FOXM1	P06493	Q08050
CDK1	PML	P06493	P29590
CDK1	RB1	P06493	P06400
CDK1	TP53	P06493	P04637
CDC6	MYC	Q99741	P01106
CDC25A	MAPK1	P30304	P28482
CDC25B	FOXM1	P30305	Q08050
CDC25C	MAPK1	P30307	P28482
CDC25C	MAPK3	P30307	P27361
CDC27	CDH1	P30260	P12830
CDC27	CTNNB1	P30260	P35222
CDC27	FOXM1	P30260	Q08050
CDC34	CTNNB1	P49427	P35222
CDC34	TP53	P49427	P04637
CDC42	CDH1	P60953	P12830
CDC42	PRDX1	P60953	Q06830
CDC42	TP53	P60953	P04637
CDH1	ACADVL	P12830	P49748
CDH1	ACTG1	P12830	P63261
CDH1	ACTN4	P12830	O43707
CDH1	ACTN1	P12830	P12814
CDH1	ADCY9	P12830	O60503
CDH1	ADD1	P12830	P35611
CDH1	ADD3	P12830	Q9UEY8
CDH1	AIM1	P12830	-
CDH1	AKT1	P12830	P31749
CDH1	ALDOA	P12830	P04075
CDH1	ANK3	P12830	Q12955
CDH1	ANXA1	P12830	P04083
CDH1	ANXA2	P12830	P07355
CDH1	ANXA4	P12830	P09525
CDH1	ARHGAP1	P12830	Q07960
CDH1	ARHGAP5	P12830	Q13017
CDH1	ARHGDIB	P12830	P52566
CDH1	ARVCF	P12830	O00192
CDH1	ATIC	P12830	P31939
CDH1	ATP2B1	P12830	P20020
CDH1	ATP2B4	P12830	P23634
CDH1	BCL2L2	P12830	Q92843
CDH1	BMPR2	P12830	Q13873
CDH1	DST	P12830	Q03001
CDH1	BSG	P12830	P35613
CDH1	C1QBP	P12830	Q07021
CDH1	CALD1	P12830	Q05682
CDH1	CAPG	P12830	P40121
CDH1	CAPS	P12830	Q13938
CDH1	CAPZA1	P12830	P52907
CDH1	CAST	P12830	P20810
CDH1	CAPZB	P12830	P47756
CDH1	CBL	P12830	P22681
CDH1	SCARB1	P12830	Q8WTV0
CDH1	SEPT7	P12830	-
CDH1	CDH1	P12830	P12830
CDH1	CDK8	P12830	P49336
CDH1	CLIC1	P12830	O00299
CDH1	CNN2	P12830	Q99439
CDH1	CNN3	P12830	Q15417
CDH1	COL17A1	P12830	Q9UMD9
CDH1	CREBBP	P12830	Q92793
CDH1	CRK	P12830	P46108
CDH1	CRKL	P12830	P46109
CDH1	CSE1L	P12830	P55060
CDH1	CSNK1A1	P12830	P48729
CDH1	CSNK1D	P12830	P48730
CDH1	CTNNA1	P12830	P35221
CDH1	CTNNA2	P12830	P26232
CDH1	CTNNB1	P12830	P35222
CDH1	CTNND1	P12830	O60716
CDH1	CTSB	P12830	P07858
CDH1	CXADR	P12830	P78310
CDH1	DAG1	P12830	Q14118
CDH1	DBN1	P12830	Q16643
CDH1	DDX3X	P12830	O00571
CDH1	DDX6	P12830	P26196
CDH1	DLG1	P12830	Q12959
CDH1	DSC3	P12830	Q14574
CDH1	DSG2	P12830	Q14126
CDH1	DVL3	P12830	Q92997
CDH1	E2F1	P12830	Q01094
CDH1	ECT2	P12830	Q9H8V3
CDH1	EEF1A1	P12830	P68104
CDH1	EEF1D	P12830	P29692
CDH1	EEF1G	P12830	P26641
CDH1	EEF2	P12830	P13639
CDH1	EGFR	P12830	P00533
CDH1	EIF2S3	P12830	P41091
CDH1	EPHA2	P12830	P29317
CDH1	EIF4B	P12830	P23588
CDH1	EIF4G1	P12830	Q04637
CDH1	EIF4G2	P12830	P78344
CDH1	EIF5	P12830	P55010
CDH1	EIF5A	P12830	P63241
CDH1	EMD	P12830	P50402
CDH1	MARK2	P12830	Q7KZI7
CDH1	CTTN	P12830	Q14247
CDH1	ENO1	P12830	P06733
CDH1	EP300	P12830	Q09472
CDH1	EPB41	P12830	P11171
CDH1	EPB41L1	P12830	Q9H4G0
CDH1	EPS15	P12830	P42566
CDH1	ERBB2	P12830	P04626
CDH1	ERBB3	P12830	P21860
CDH1	EVPL	P12830	Q92817
CDH1	FASN	P12830	P49327
CDH1	FER	P12830	P16591
CDH1	FLNA	P12830	P21333
CDH1	FLNB	P12830	O75369
CDH1	FTH1	P12830	P02794
CDH1	GAB1	P12830	Q13480
CDH1	GBAS	P12830	-
CDH1	GM2A	P12830	P17900
CDH1	GNA12	P12830	Q03113
CDH1	GOLGA2	P12830	Q08379
CDH1	GOLGA3	P12830	Q08378
CDH1	GOLGB1	P12830	Q14789
CDH1	SFN	P12830	P31947
CDH1	GSPT1	P12830	P15170
CDH1	HCFC1	P12830	P51610
CDH1	HDAC1	P12830	Q13547
CDH1	HDAC2	P12830	Q92769
CDH1	HDLBP	P12830	Q00341
CDH1	HLA-C	P12830	P10321
CDH1	HNRNPK	P12830	P61978
CDH1	HRAS	P12830	P01112
CDH1	AGFG1	P12830	P52594
CDH1	HSD17B3	P12830	P37058
CDH1	HSPA1A	P12830	P0DMV8
CDH1	HSPA5	P12830	P11021
CDH1	HSPA8	P12830	P11142
CDH1	HSPA9	P12830	P38646
CDH1	HSP90AA1	P12830	P07900
CDH1	HSP90AB1	P12830	P08238
CDH1	HSPD1	P12830	P10809
CDH1	DNAJB1	P12830	P25685
CDH1	IDH1	P12830	O75874
CDH1	IGBP1	P12830	P78318
CDH1	IGF2R	P12830	P11717
CDH1	IGHA1	P12830	-
CDH1	IL6ST	P12830	P40189
CDH1	INPPL1	P12830	O15357
CDH1	EIF3E	P12830	P60228
CDH1	IRAK1	P12830	P51617
CDH1	ITGA6	P12830	P23229
CDH1	ITGAE	P12830	P38570
CDH1	ITGB1	P12830	P05556
CDH1	IVL	P12830	P07476
CDH1	JUP	P12830	P14923
CDH1	KCNN4	P12830	O15554
CDH1	KIF5B	P12830	P33176
CDH1	KRT1	P12830	P04264
CDH1	KRT8	P12830	P05787
CDH1	KRT9	P12830	P35527
CDH1	KRT18	P12830	P05783
CDH1	KTN1	P12830	Q86UP2
CDH1	LAD1	P12830	O00515
CDH1	LASP1	P12830	Q14847
CDH1	LBR	P12830	Q14739
CDH1	LDHA	P12830	P00338
CDH1	ABLIM1	P12830	O14639
CDH1	LLGL1	P12830	Q15334
CDH1	LMNA	P12830	P02545
CDH1	LMO7	P12830	Q8WWI1
CDH1	LPP	P12830	Q93052
CDH1	MARCKS	P12830	P29966
CDH1	MAP4	P12830	P27816
CDH1	MARK3	P12830	P27448
CDH1	MET	P12830	P08581
CDH1	CD99	P12830	P14209
CDH1	MLLT4	P12830	-
CDH1	MRE11A	P12830	-
CDH1	MYO1B	P12830	O43795
CDH1	MYH9	P12830	P35579
CDH1	MYO6	P12830	Q9UM54
CDH1	NCK1	P12830	P16333
CDH1	SEPT2	P12830	-
CDH1	NF2	P12830	P35240
CDH1	NFKBIE	P12830	O00221
CDH1	NHS	P12830	Q6T4R5
CDH1	NOTCH1	P12830	P46531
CDH1	NOTCH2	P12830	Q04721
CDH1	NOTCH3	P12830	Q9UM47
CDH1	PRDX1	P12830	Q06830
CDH1	PAK2	P12830	Q13177
CDH1	PCBP1	P12830	Q15365
CDH1	PCBP2	P12830	Q15366
CDH1	PCDH1	P12830	Q08174
CDH1	PCMT1	P12830	P22061
CDH1	PFKP	P12830	Q01813
CDH1	PFN1	P12830	P07737
CDH1	PI4KA	P12830	P42356
CDH1	PKD1	P12830	P98161
CDH1	PKM	P12830	P14618
CDH1	PKP2	P12830	Q99959
CDH1	PLCB3	P12830	Q01970
CDH1	PLEC	P12830	Q15149
CDH1	PLSCR1	P12830	O15162
CDH1	POLR2E	P12830	P19388
CDH1	PPL	P12830	O60437
CDH1	PKN2	P12830	Q16513
CDH1	MAPK3	P12830	P27361
CDH1	MAP2K1	P12830	Q02750
CDH1	PSEN1	P12830	P49768
CDH1	PSMB6	P12830	P28072
CDH1	TWF1	P12830	Q12792
CDH1	PTPN1	P12830	P18031
CDH1	PTPRD	P12830	P23468
CDH1	PTPRG	P12830	P23470
CDH1	PTPRJ	P12830	Q12913
CDH1	PTPRS	P12830	Q13332
CDH1	PVRL1	P12830	-
CDH1	PVRL2	P12830	-
CDH1	PXN	P12830	P49023
CDH1	RAB1A	P12830	P62820
CDH1	RAN	P12830	P62826
CDH1	RANBP1	P12830	P43487
CDH1	RANGAP1	P12830	P46060
CDH1	RARS	P12830	-
CDH1	RDX	P12830	P35241
CDH1	RPL6	P12830	Q02878
CDH1	RPL7A	P12830	P62424
CDH1	RPL15	P12830	P61313
CDH1	RPL23A	P12830	P62750
CDH1	RPL24	P12830	P83731
CDH1	RPL29	P12830	P47914
CDH1	RPL34	P12830	P49207
CDH1	RPL36AL	P12830	Q969Q0
CDH1	RPL37	P12830	P61927
CDH1	RPL36A	P12830	P83881
CDH1	RPS2	P12830	P15880
CDH1	RPS26	P12830	P62854
CDH1	S100A11	P12830	P31949
CDH1	S100P	P12830	P25815
CDH1	SDCBP	P12830	O00560
CDH1	SET	P12830	Q01105
CDH1	SFRP2	P12830	Q96HF1
CDH1	SH3GL1	P12830	Q99961
CDH1	SHB	P12830	Q15464
CDH1	SLC1A5	P12830	Q15758
CDH1	SLC3A2	P12830	P08195
CDH1	SLC9A1	P12830	P19634
CDH1	SLC12A2	P12830	P55011
CDH1	SNAP25	P12830	P60880
CDH1	FSCN1	P12830	Q16658
CDH1	SNX1	P12830	Q13596
CDH1	SNX2	P12830	O60749
CDH1	SPAG1	P12830	Q07617
CDH1	SPRR3	P12830	Q9UBC9
CDH1	SPTAN1	P12830	Q13813
CDH1	SPTBN1	P12830	Q01082
CDH1	SPTBN2	P12830	O15020
CDH1	SRC	P12830	P12931
CDH1	SSFA2	P12830	-
CDH1	STAT1	P12830	P42224
CDH1	STAT2	P12830	P52630
CDH1	STIM1	P12830	Q13586
CDH1	CDKL5	P12830	O76039
CDH1	STX4	P12830	Q12846
CDH1	STX5	P12830	Q13190
CDH1	SVIL	P12830	O95425
CDH1	ADAM17	P12830	P78536
CDH1	TGM2	P12830	P21980
CDH1	TJP1	P12830	Q07157
CDH1	TLN1	P12830	Q9Y490
CDH1	TMOD1	P12830	P28289
CDH1	TMPO	P12830	P42167
CDH1	TP53BP2	P12830	Q13625
CDH1	TPD52	P12830	P55327
CDH1	TPD52L2	P12830	O43399
CDH1	TRIP6	P12830	Q15654
CDH1	TTK	P12830	P33981
CDH1	TTN	P12830	Q8WZ42
CDH1	UBC	P12830	P0CG48
CDH1	UTRN	P12830	P46939
CDH1	VASP	P12830	P50552
CDH1	VCL	P12830	P18206
CDH1	EZR	P12830	P15311
CDH1	EIF4H	P12830	Q15056
CDH1	XRCC5	P12830	P13010
CDH1	YES1	P12830	P07947
CDH1	YWHAB	P12830	P31946
CDH1	YWHAE	P12830	P62258
CDH1	YWHAZ	P12830	P63104
CDH1	TRIM25	P12830	Q14258
CDH1	ZNF185	P12830	O15231
CDH1	SLC30A1	P12830	Q9Y6M5
CDH1	ZYX	P12830	Q15942
CDH1	LUZP1	P12830	Q86V48
CDH1	DDX39B	P12830	Q13838
CDH1	NUP214	P12830	P35658
CDH1	PICALM	P12830	Q13492
CDH1	HIST1H3A	P12830	-
CDH1	TAGLN2	P12830	P37802
CDH1	STK24	P12830	Q9Y6E0
CDH1	NCK2	P12830	O43639
CDH1	PPFIBP1	P12830	Q86W92
CDH1	NIPSNAP1	P12830	Q9BPW8
CDH1	RUVBL1	P12830	Q9Y265
CDH1	USO1	P12830	O60763
CDH1	NUMB	P12830	P49757
CDH1	ADAM9	P12830	Q13443
CDH1	SNAP23	P12830	O00161
CDH1	SCEL	P12830	O95171
CDH1	SYNJ1	P12830	O43426
CDH1	SYNJ2	P12830	O15056
CDH1	H1FX	P12830	-
CDH1	MPZL1	P12830	O95297
CDH1	RPL14	P12830	P50914
CDH1	GPRC5A	P12830	Q8NFJ5
CDH1	SYT7	P12830	O43581
CDH1	USP8	P12830	P40818
CDH1	SLC16A3	P12830	O15427
CDH1	PDLIM1	P12830	O00151
CDH1	CCNB2	P12830	O95067
CDH1	LRRFIP1	P12830	Q32MZ4
CDH1	VAPB	P12830	O95292
CDH1	VAPA	P12830	Q9P0L0
CDH1	RAB11B	P12830	Q15907
CDH1	DLG5	P12830	Q8TDM6
CDH1	NUMBL	P12830	Q9Y6R0
CDH1	PDLIM7	P12830	Q9NR12
CDH1	TRIP11	P12830	Q15643
CDH1	VAMP3	P12830	Q15836
CDH1	SNAP29	P12830	O95721
CDH1	SLC9A3R2	P12830	Q15599
CDH1	SLC9A3R1	P12830	O14745
CDH1	ARHGAP29	P12830	Q52LW3
CDH1	TJP2	P12830	Q9UDY2
CDH1	SLC4A7	P12830	Q9Y6M7
CDH1	BAG3	P12830	O95817
CDH1	H2AFY	P12830	-
CDH1	PRDX6	P12830	P30041
CDH1	N4BP1	P12830	O75113
CDH1	CLINT1	P12830	Q14677
CDH1	BZW1	P12830	Q7L1Q6
CDH1	USP6NL	P12830	Q92738
CDH1	ARHGAP32	P12830	A7KAX9
CDH1	SLK	P12830	Q9H2G2
CDH1	PHACTR2	P12830	O75167
CDH1	ZFYVE16	P12830	Q7Z3T8
CDH1	CKAP5	P12830	Q14008
CDH1	IST1	P12830	P53990
CDH1	RB1CC1	P12830	Q8TDY2
CDH1	GOLGA5	P12830	Q8TBA6
CDH1	USP15	P12830	Q9Y4E8
CDH1	CCS	P12830	O14618
CDH1	ABI1	P12830	Q8IZP0
CDH1	ARPC2	P12830	O15144
CDH1	WASF2	P12830	Q9Y6W5
CDH1	TXNDC9	P12830	O14530
CDH1	INADL	P12830	-
CDH1	FLOT1	P12830	O75955
CDH1	PLIN3	P12830	O60664
CDH1	PAK4	P12830	O96013
CDH1	TUBB4B	P12830	P68371
CDH1	GNB2L1	P12830	-
CDH1	YAP1	P12830	P46937
CDH1	PGRMC2	P12830	O15173
CDH1	SEC24B	P12830	O95487
CDH1	BAIAP2	P12830	Q9UQB8
CDH1	NOP56	P12830	O00567
CDH1	NEBL	P12830	O76041
CDH1	ANP32B	P12830	Q92688
CDH1	SORBS1	P12830	Q9BX66
CDH1	AHSA1	P12830	O95433
CDH1	PAICS	P12830	P22234
CDH1	PDLIM5	P12830	Q96HC4
CDH1	YKT6	P12830	O15498
CDH1	GNA13	P12830	Q14344
CDH1	CCT8	P12830	P50990
CDH1	NUDC	P12830	Q9Y266
CDH1	GIPC1	P12830	O14908
CDH1	SEPT9	P12830	-
CDH1	FRS2	P12830	Q8WU20
CDH1	PPP1R13L	P12830	Q8WUF5
CDH1	RAB10	P12830	P61026
CDH1	EHD1	P12830	Q9H4M9
CDH1	EBNA1BP2	P12830	Q99848
CDH1	GCN1L1	P12830	-
CDH1	CDC42EP1	P12830	Q00587
CDH1	NUDT5	P12830	Q9UKK9
CDH1	PKP3	P12830	Q9Y446
CDH1	AKAP2	P12830	-
CDH1	PACSIN2	P12830	Q9UNF0
CDH1	ATXN2L	P12830	Q8WWM7
CDH1	LYPLA2	P12830	O95372
CDH1	PARK7	P12830	Q99497
CDH1	STK38	P12830	Q15208
CDH1	PDAP1	P12830	Q13442
CDH1	EXOC3	P12830	O60645
CDH1	TWF2	P12830	Q6IBS0
CDH1	PUF60	P12830	Q9UHX1
CDH1	COBLL1	P12830	Q53SF7
CDH1	AAK1	P12830	Q2M2I8
CDH1	ZNF510	P12830	Q9Y2H8
CDH1	PLEKHA6	P12830	Q9Y2H5
CDH1	ABLIM3	P12830	O94929
CDH1	EPN2	P12830	O95208
CDH1	MAPRE1	P12830	Q15691
CDH1	SHANK2	P12830	Q9UPX8
CDH1	LIMCH1	P12830	Q9UPQ0
CDH1	DAAM1	P12830	Q9Y4D1
CDH1	PDXDC1	P12830	Q6P996
CDH1	SWAP70	P12830	Q9UH65
CDH1	ERC1	P12830	Q8IUD2
CDH1	SIPA1L3	P12830	O60292
CDH1	EPB41L3	P12830	Q9Y2J2
CDH1	GGA3	P12830	Q9NZ52
CDH1	MPRIP	P12830	Q6WCQ1
CDH1	EFR3A	P12830	Q14156
CDH1	LPHN2	P12830	-
CDH1	EHBP1	P12830	Q8NDI1
CDH1	ESYT1	P12830	Q9BSJ8
CDH1	DOCK9	P12830	Q9BZ29
CDH1	ARHGEF12	P12830	Q9NZN5
CDH1	LARP1	P12830	Q6PKG0
CDH1	PPP1R13B	P12830	Q96KQ4
CDH1	SRGAP2	P12830	O75044
CDH1	PIP5K1C	P12830	O60331
CDH1	MACF1	P12830	Q9UPN3
CDH1	SCRIB	P12830	Q14160
CDH1	CDC42EP4	P12830	Q9H3Q1
CDH1	CD2AP	P12830	Q9Y5K6
CDH1	ARFIP2	P12830	P53365
CDH1	TRIM29	P12830	Q14134
CDH1	TMEM2	P12830	-
CDH1	ZDHHC5	P12830	Q9C0B5
CDH1	KANK2	P12830	Q63ZY3
CDH1	TMEM87A	P12830	Q8NBN3
CDH1	CHMP2B	P12830	Q9UQN3
CDH1	NGDN	P12830	Q8NEJ9
CDH1	TBC1D10B	P12830	Q4KMP7
CDH1	GORASP2	P12830	Q9H8Y8
CDH1	GIGYF2	P12830	Q6Y7W6
CDH1	RAI14	P12830	Q9P0K7
CDH1	GAPVD1	P12830	Q14C86
CDH1	SERBP1	P12830	Q8NC51
CDH1	TES	P12830	Q9UGI8
CDH1	RSL1D1	P12830	O76021
CDH1	ELP4	P12830	Q96EB1
CDH1	COPG2	P12830	Q9UBF2
CDH1	SND1	P12830	Q7KZF4
CDH1	SNX5	P12830	Q9Y5X3
CDH1	ARFIP1	P12830	P53367
CDH1	ARHGEF16	P12830	Q5VV41
CDH1	BZW2	P12830	Q9Y6E2
CDH1	DBNL	P12830	Q9UJU6
CDH1	STXBP6	P12830	Q8NFX7
CDH1	UHRF1	P12830	Q96T88
CDH1	TMOD3	P12830	Q9NYL9
CDH1	OLA1	P12830	Q9NTK5
CDH1	SH3KBP1	P12830	Q96B97
CDH1	EHD4	P12830	Q9H223
CDH1	MINK1	P12830	Q8N4C8
CDH1	ASAP1	P12830	Q9ULH1
CDH1	F11R	P12830	Q9Y624
CDH1	GLOD4	P12830	Q9HC38
CDH1	SH3GLB1	P12830	Q9Y371
CDH1	HN1	P12830	-
CDH1	PPME1	P12830	Q9Y570
CDH1	SNX9	P12830	Q9Y5X1
CDH1	LIMA1	P12830	Q9UHB6
CDH1	ISYNA1	P12830	Q9NPH2
CDH1	CHMP5	P12830	Q9NZZ3
CDH1	LSR	P12830	Q86X29
CDH1	WWOX	P12830	Q9NZC7
CDH1	NANS	P12830	Q9NR45
CDH1	ANLN	P12830	Q9NQW6
CDH1	CCSER2	P12830	Q9H7U1
CDH1	XRN1	P12830	Q8IZH2
CDH1	PLEKHA5	P12830	Q9HAU0
CDH1	DHX29	P12830	Q7Z478
CDH1	EPB41L4B	P12830	Q9H329
CDH1	CC2D1A	P12830	Q6P1N0
CDH1	EPS8L1	P12830	Q8TE68
CDH1	FNBP1L	P12830	Q5T0N5
CDH1	RNF43	P12830	Q68DV7
CDH1	SSH3	P12830	Q8TE77
CDH1	STX17	P12830	P56962
CDH1	EPN3	P12830	Q9H201
CDH1	UACA	P12830	Q9BZF9
CDH1	ARGLU1	P12830	Q9NWB6
CDH1	TMEM51	P12830	Q9NW97
CDH1	STEAP3	P12830	Q658P3
CDH1	ABCF3	P12830	Q9NUQ8
CDH1	HEMGN	P12830	Q9BXL5
CDH1	LRRC59	P12830	Q96AG4
CDH1	LRRC16A	P12830	-
CDH1	FERMT1	P12830	Q9BQL6
CDH1	TBC1D22B	P12830	Q9NU19
CDH1	NLRP2	P12830	Q9NX02
CDH1	DENND4C	P12830	Q5VZ89
CDH1	SCYL2	P12830	Q6P3W7
CDH1	TENM3	P12830	Q9P273
CDH1	PARVA	P12830	Q9NVD7
CDH1	C1orf106	P12830	-
CDH1	PAG1	P12830	Q9NWQ8
CDH1	UBAP2	P12830	Q5T6F2
CDH1	ZC3H15	P12830	Q8WU90
CDH1	UNC45A	P12830	Q9H3U1
CDH1	ERBB2IP	P12830	-
CDH1	NSFL1C	P12830	Q9UNZ2
CDH1	BAIAP2L1	P12830	Q9UHR4
CDH1	UBFD1	P12830	O14562
CDH1	KIAA1217	P12830	Q5T5P2
CDH1	PARD3	P12830	Q8TEW0
CDH1	ZC3HAV1	P12830	Q7Z2W4
CDH1	SH3GLB2	P12830	Q9NR46
CDH1	PAK6	P12830	Q9NQU5
CDH1	CIAPIN1	P12830	Q6FI81
CDH1	PLSCR3	P12830	Q9NRY6
CDH1	CAMK1D	P12830	Q8IU85
CDH1	RTN4	P12830	Q9NQC3
CDH1	CORO1B	P12830	Q9BR76
CDH1	TTC7A	P12830	Q9ULT0
CDH1	NHSL1	P12830	Q5SYE7
CDH1	SCYL1	P12830	Q96KG9
CDH1	NDRG2	P12830	Q9UN36
CDH1	ESYT2	P12830	A0FGR8
CDH1	MKL2	P12830	-
CDH1	KIDINS220	P12830	Q9ULH0
CDH1	MAVS	P12830	Q7Z434
CDH1	CASKIN2	P12830	Q8WXE0
CDH1	CGN	P12830	Q9P2M7
CDH1	LRRC7	P12830	-
CDH1	ARHGAP21	P12830	Q5T5U3
CDH1	KIAA1462	P12830	-
CDH1	SHROOM3	P12830	Q8TF72
CDH1	SH3RF1	P12830	Q7Z6J0
CDH1	ARHGAP23	P12830	Q9P227
CDH1	KIAA1522	P12830	Q9P206
CDH1	KIAA1524	P12830	-
CDH1	KIAA1598	P12830	-
CDH1	EPS15L1	P12830	Q9UBC2
CDH1	PLEKHA1	P12830	Q9HB21
CDH1	PLEKHA2	P12830	Q9HB19
CDH1	ACBD3	P12830	Q9H3P7
CDH1	EPS8L2	P12830	Q9H6S3
CDH1	KLC2	P12830	Q9H0B6
CDH1	FAM129B	P12830	-
CDH1	RAPH1	P12830	Q70E73
CDH1	PHACTR4	P12830	Q8IZ21
CDH1	AHNAK	P12830	Q09666
CDH1	C1orf116	P12830	-
CDH1	C1orf35	P12830	-
CDH1	EFHD2	P12830	Q96C19
CDH1	GALNT12	P12830	Q8IXK2
CDH1	CLMN	P12830	Q96JQ2
CDH1	PEAK1	P12830	Q9H792
CDH1	CBLL1	P12830	Q75N03
CDH1	POF1B	P12830	Q8WVV4
CDH1	VCPIP1	P12830	Q96JH7
CDH1	PLEKHO2	P12830	Q8TD55
CDH1	SRCIN1	P12830	Q9C0H9
CDH1	SLC38A1	P12830	Q9H2H9
CDH1	PVRL4	P12830	-
CDH1	DIAPH3	P12830	Q9NSV4
CDH1	CDCA3	P12830	Q99618
CDH1	FAM110A	P12830	Q9BQ89
CDH1	TBC1D10A	P12830	Q9BXI6
CDH1	EIF2A	P12830	Q9BY44
CDH1	ELMOD3	P12830	Q96FG2
CDH1	ARFGAP2	P12830	Q8N6H7
CDH1	LZTS2	P12830	Q9BRK4
CDH1	FAM126A	P12830	Q9BYI3
CDH1	C1orf198	P12830	Q9H425
CDH1	C9orf3	P12830	-
CDH1	MICALL1	P12830	Q8N3F8
CDH1	KIAA1671	P12830	Q9BY89
CDH1	TNKS1BP1	P12830	Q9C0C2
CDH1	TANC1	P12830	Q9C0D5
CDH1	NAV2	P12830	Q8IVL1
CDH1	CCDC120	P12830	Q96HB5
CDH1	PHLDB2	P12830	Q86SQ0
CDH1	HN1L	P12830	-
CDH1	MSANTD3	P12830	Q96H12
CDH1	SPECC1	P12830	Q5M775
CDH1	ARHGAP18	P12830	Q8N392
CDH1	SYAP1	P12830	Q96A49
CDH1	GPRIN1	P12830	Q7Z2K8
CDH1	FMNL2	P12830	Q96PY5
CDH1	ELFN2	P12830	Q5R3F8
CDH1	VASN	P12830	Q6EMK4
CDH1	ZG16B	P12830	Q96DA0
CDH1	CANT1	P12830	Q8WVQ1
CDH1	USP43	P12830	Q70EL4
CDH1	CCDC43	P12830	Q96MW1
CDH1	KDF1	P12830	Q8NAX2
CDH1	CHMP4B	P12830	Q9H444
CDH1	SIRPA	P12830	P78324
CDH1	MPP7	P12830	Q5T2T1
CDH1	PLEKHA7	P12830	Q6IQ23
CDH1	SLC2A14	P12830	Q8TDB8
CDH1	GCOM1	P12830	-
CDH1	TMEM199	P12830	Q8N511
CDH1	WIPF2	P12830	Q8TF74
CDH1	VSIG10L	P12830	Q86VR7
CDH1	PROM2	P12830	Q8N271
CDH1	MB21D2	P12830	Q8IYB1
CDH1	SH3D19	P12830	Q5HYK7
CDH1	DAB2IP	P12830	Q5VWQ8
CDH1	MARVELD2	P12830	Q8N4S9
CDH1	FAM84B	P12830	-
CDH1	FAM91A1	P12830	Q658Y4
CDH1	SPRED1	P12830	Q7Z699
CDH1	FAM171B	P12830	Q6P995
CDH1	PPP1R18	P12830	Q6NYC8
CDH1	TUBB	P12830	P07437
CDH1	FAM83B	P12830	Q5T0W9
CDH1	EHBP1L1	P12830	Q8N3D4
CDH1	LRRC57	P12830	Q8N9N7
CDH1	MAGI3	P12830	Q5TCQ9
CDH1	PPP1R37	P12830	O75864
CDH1	FAM126B	P12830	Q8IXS8
CDH1	SH3PXD2B	P12830	A1X283
CDH1	FAM83H	P12830	Q6ZRV2
CDH1	CCDC85C	P12830	A6NKD9
CDH1	FMN1	P12830	Q68DA7
CDH1	PALM3	P12830	A6NDB9
CDH1	MACC1	P12830	Q6ZN28
CDH1	ARPIN	P12830	Q7Z6K5
CDH1	SBSN	P12830	Q6UWP8
CDH1	GOLGA8B	P12830	A8MQT2
CDH1	FAM110C	P12830	Q1W6H9
CDH1	C6orf132	P12830	Q5T0Z8
CDH1	RELL1	P12830	Q8IUW5
CDH1	OCLN	P12830	Q16625
CDH2	CTNNB1	P19022	P35222
CDH3	CDH1	P22223	P12830
CDH3	CTNNB1	P22223	P35222
CDH5	CTNNB1	P33151	P35222
CDH8	CTNNB1	P55286	P35222
CDK2	BCL2	P24941	P10415
CDK2	ENO2	P24941	P09104
CDK2	FOXM1	P24941	Q08050
CDK2	GSTP1	P24941	P09211
CDK2	PRDX1	P24941	Q06830
CDK2	PML	P24941	P29590
CDK2	RB1	P24941	P06400
CDK2	TP53	P24941	P04637
CDK2	RRAS2	P24941	P62070
CDK3	RB1	Q00526	P06400
CDK4	CCND1	P11802	P24385
CDK4	FOXM1	P11802	Q08050
CDK4	MYC	P11802	P01106
CDK4	RB1	P11802	P06400
CDK5	RB1	Q00535	P06400
CDK6	CCND1	Q00534	P24385
CDK6	CTNNB1	Q00534	P35222
CDK6	FOXM1	Q00534	Q08050
CDK6	MYC	Q00534	P01106
CDK6	PML	Q00534	P29590
CDK6	RB1	Q00534	P06400
CDK7	TP53	P50613	P04637
CDK9	PRDX1	P50750	Q06830
CDKN1A	IKBKG	P38936	Q9Y6K9
CDKN1B	CCND1	P46527	P24385
CDKN1B	MYC	P46527	P01106
CDKN1C	CCND1	P49918	P24385
CDKN2A	CCND1	Q8N726	P24385
CDKN2A	BCL2L1	Q8N726	Q07817
CDKN2A	HRAS	Q8N726	P01112
